ROWS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
tlm01,0.052892,0.04618,0.042845,0.042997,0.045029,0.049445,0.048801,0.051168,0.053377,0.055159,0.058015,0.058033,0.061491,0.060942,0.065017,0.066305,0.065457,0.065206,0.06529,0.064053,0.066712,0.064787,0.062526,0.060979,0.05961,0.056968,0.051222,0.046716,0.046193,0.046148,0.042757,0.04153,0.041867,0.042108,0.043065,0.041591,0.040958,0.040757,0.039843,0.041871,0.042414,0.043678,0.043932,0.045577,0.053191,0.08082,0.149626,0.27024,0.424773,0.548422,0.554173,0.453812,0.324482,0.195968,0.132109,0.120951,0.126456,0.112836,0.090822,0.071965,0.055036,0.047812,0.042155,0.041183,0.039863,0.038965,0.040036,0.040625,0.04561,0.055384,0.077137,0.122714,0.169268,0.2264,0.247956,0.256516,0.267139,0.281359,0.321004,0.424518,0.514553,0.612127,0.631524,0.573467,0.504519,0.40291,0.318801,0.247916,0.200189,0.139208,0.094192,0.071805,0.05466,0.044954,0.040471,0.041913,0.042607,0.04334,0.042791,0.03936
segment-1,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04413,0.04422,0.04445,0.04452,0.04477,0.04498,0.04543,0.04574,0.04694,0.04694,0.04743,0.04797,0.05118,0.05538,0.07924,0.16828,0.29446,0.35896,0.43671,0.4559,0.46072,0.50468,0.33433,0.0513,0.04425,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04411,0.04412,0.04425,0.04657,0.06184,0.14083,0.22563,0.35153,0.42124,0.52183,0.59899,0.60936,0.63152,0.57907,0.45691,0.31938,0.23897,0.22669,0.17582,0.15389,0.10538,0.09348,0.08316,0.07458,0.06882,0.06028,0.06443,0.07148,0.04995
segment-2,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00333,0.00339,0.00387,0.00573,0.03766,0.04917,0.0926,0.10683,0.13256,0.14583,0.15293,0.16957,0.17718,0.14298,0.10179,0.05574,0.01015,0.00468,0.00392,0.0037,0.00336,0.00334,0.00334,0.00334,0.00335,0.00341,0.00409,0.00965,0.04259,0.12067,0.20901,0.24796,0.21993,0.14626,0.09875,0.04152,0.016,0.00831,0.00519,0.00434,0.00396,0.00368,0.00349,0.00341,0.00338,0.00337,0.00336,0.00336,0.00335,0.00336,0.00337,0.00337,0.00337,0.00336,0.00336,0.00337,0.00334
sum,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04744,0.04746,0.04755,0.04778,0.04785,0.0481,0.04831,0.04876,0.04907,0.05027,0.05027,0.05076,0.0513,0.05451,0.05871,0.08263,0.17215,0.30019,0.39662,0.48588,0.5485,0.56755,0.63724,0.48016,0.20423,0.21382,0.22129,0.18709,0.1459,0.09985,0.05426,0.04879,0.04803,0.04781,0.04747,0.04745,0.04745,0.04745,0.04746,0.04752,0.0482,0.05376,0.0867,0.16479,0.25326,0.29453,0.28177,0.28709,0.32438,0.39305,0.43724,0.53014,0.60418,0.6137,0.63548,0.58275,0.4604,0.32279,0.24235,0.23006,0.17918,0.15725,0.10873,0.09684,0.08653,0.07795,0.07219,0.06364,0.06779,0.07485,0.05329
model,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470144663862909,0.0470342869876342,0.047123479693679,0.0473514166091269,0.0474207887138284,0.0476685462306195,0.0478766625447241,0.0483226260749482,0.0486298453957692,0.0498190814763668,0.0498190814763668,0.0503046862092775,0.0508398424455464,0.0540210489611449,0.0581833752432364,0.0818888144498148,0.170605826062394,0.297497315862156,0.393062345238842,0.481521689033959,0.543579991839809,0.562459114619296,0.631524,0.475852997049777,0.202398070617036,0.211902048961145,0.219305043562865,0.185411815265834,0.144591286799322,0.09895435220639,0.0537732914443538,0.0483523569769631,0.047599174125918,0.0473811475111418,0.0470441972883058,0.0470243766869625,0.0470243766869625,0.0470243766869625,0.0470342869876342,0.0470937487916641,0.047767649237336,0.0532777764107714,0.0859223068231749,0.163311844768062,0.250988274810119,0.291888085682004,0.279242542024983,0.284514821982299,0.321470333186868,0.389524367899065,0.43331798656707,0.525384679806666,0.598760545979537,0.608195152218944,0.62977978708179,0.577522771640198,0.456270242922604,0.319894595380077,0.240176136777352,0.227996377251899,0.177572767434562,0.155839478061641,0.107754699202812,0.0959713517042245,0.0857538317117569,0.0772507937354843,0.0715424605486159,0.0630691534743582,0.0671819282530915,0.0741786005272739,0.0528119922792041
tlm02,0.036714,0.031643,0.028022,0.024793,0.025139,0.025682,0.029199,0.035476,0.04214,0.042758,0.040873,0.039073,0.043556,0.044565,0.040975,0.040671,0.040738,0.043069,0.044075,0.044453,0.045093,0.045514,0.047009,0.045652,0.042817,0.038534,0.034585,0.029669,0.024605,0.021324,0.018396,0.018455,0.016873,0.014192,0.01371,0.013361,0.015938,0.015642,0.012492,0.013495,0.014334,0.014454,0.014821,0.016073,0.017845,0.024326,0.033839,0.047664,0.079191,0.130249,0.159123,0.174148,0.179524,0.162511,0.208902,0.282684,0.321392,0.323413,0.286043,0.210496,0.148166,0.108406,0.075842,0.051221,0.041716,0.034564,0.031934,0.035193,0.047934,0.090552,0.152722,0.277824,0.403136,0.545134,0.641876,0.650502,0.642647,0.544266,0.479568,0.386877,0.336773,0.285993,0.249527,0.224867,0.196009,0.159598,0.134199,0.104562,0.083621,0.071972,0.058693,0.049776,0.043525,0.039959,0.040304,0.041156,0.042912,0.045804,0.050524,0.052002
segment-1,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00048,0.00048,0.00049,0.00049,0.00051,0.00051,0.00052,0.00055,0.00074,0.0014,0.00526,0.01744,0.02593,0.02657,0.03605,0.03215,0.03494,0.03642,0.04411,0.04867,0.04269,0.00626,0.00063,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00049,0.00106,0.01359,0.06104,0.12935,0.16442,0.17542,0.17952,0.17774,0.17536,0.17568,0.17627,0.17023,0.15239,0.13105,0.10077,0.08325,0.05126,0.03948,0.01854,0.01354,0.00968,0.00679,0.00508,0.00288,0.00349,0.00429,0.00088
segment-2,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00453,0.00454,0.00457,0.00469,0.00521,0.01059,0.02907,0.05367,0.16298,0.16301,0.21147,0.23056,0.28264,0.31088,0.32519,0.36235,0.37976,0.32518,0.33582,0.35896,0.2297,0.13744,0.10377,0.09097,0.02862,0.01718,0.01265,0.0123,0.01236,0.023,0.071,0.19048,0.35572,0.49056,0.59374,0.6505,0.61215,0.5277,0.48782,0.37188,0.26277,0.18726,0.1206,0.09096,0.07077,0.04838,0.02837,0.01919,0.01357,0.01187,0.00917,0.00876,0.00759,0.00761,0.00737,0.00686,0.00672,0.0058,0.00575,0.00572,0.00474
sum,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.00501,0.00501,0.00502,0.00502,0.00504,0.00504,0.00505,0.00509,0.00531,0.00609,0.01047,0.02803,0.055,0.08024,0.19903,0.19516,0.24641,0.26698,0.32675,0.35955,0.36788,0.36861,0.38039,0.32565,0.33629,0.35943,0.23017,0.13791,0.10424,0.09144,0.02909,0.01765,0.01312,0.01277,0.01283,0.02347,0.07147,0.19095,0.35619,0.49105,0.5948,0.66409,0.67319,0.65705,0.65224,0.5473,0.44229,0.365,0.29596,0.26664,0.24704,0.21861,0.18076,0.15024,0.11434,0.09512,0.06043,0.04824,0.02613,0.02115,0.01705,0.01365,0.0118,0.00868,0.00924,0.01001,0.00562
model,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00483148888129651,0.00484115185905911,0.00484115185905911,0.0048508148368217,0.0048508148368217,0.00487014079234689,0.00487014079234689,0.00487980377010948,0.00491845568115985,0.0051310411919369,0.00588475345741915,0.0101171377174349,0.0270853266685483,0.0531463776942617,0.0775357335670465,0.192322246408889,0.188582674014766,0.238105435048055,0.257982180305709,0.315737798392727,0.347432365454032,0.355481625930272,0.356187023306942,0.367570011111276,0.314674870838842,0.324956279178241,0.347316409720881,0.222412759161604,0.13326212632392,0.10072688019727,0.0883582686611507,0.0281096023113831,0.0170551557509767,0.0126778268245221,0.0123396226028313,0.0123976004694069,0.0226790088088058,0.0690613020692524,0.184514560376714,0.344185604925801,0.474500523032131,0.574753917319033,0.64170869023604,0.650502,0.634905953891175,0.630258061587368,0.528854772946716,0.427383843461727,0.352698688334646,0.285985489861703,0.257653639061781,0.238714202647098,0.211242356868046,0.174667986036632,0.145176577905198,0.110486487737489,0.0919142444777849,0.0583933746193497,0.0466142047267488,0.0252493608936556,0.0204371979678843,0.0164753770852211,0.0131899646459395,0.0114023137598598,0.00838746469793075,0.00892859145263596,0.00967264074035562,0.00543059350257728
